id,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15,A2,A3_1,A3_2,A3_3,A3_4,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B3,C1_1,C1_2,C1_3,C1_4,C1_5,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C3_10,C3_11,C3_12,C4,D1_1,D1_2,D1_3,D1_4,D1_5,D2_1,D2_2,D2_3,D2_4,D3,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D7,D9_1,D9_2,D9_3,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_17,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F3_9,F3_10,F4_1,F4_2,F4_3,F4_4,F4_5,F4_6,F4_7,F4_8,F4_9,F4_10,F4_11,F4_12,F4_13,F5_1,F5_2,F5_3,F5_4,F5_5,F5_6,F5_7,F5_8,F5_9,F5_10,G1,G2,G3,G4
101,8,6,2,,,,4,4,4,2,8,3,3,1,1,2,2,5,5,5,1,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2
102,5,7,1,1,0,0,3,4,3,3,10,7,5,5,7,2,8,6,5,5,5,2,3,3,7,3,2,2,2,2,2,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,2,2,2,2,1,2,2,3,2,2,2,2,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,3,2,3,0,1,1,0,0,0,0,0,2,2,4,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,4,4,1
103,8,8,1,1,0,0,5,4,4,3,8,8,11,7,8,7,-99,5,5,5,6,8,6,11,6,5,3,3,3,3,3,,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,6,7,7,7,7,6,6,6,11,11,11,11,7,8,7,11,11,0,1,0,0,0,0,0,0,1,0,0,0,6,0,1,1,0,0,6,11,6,6,7,0,1,1,0,0,0,0,0,2,7,7,7,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,,,,,,,,1,0,0,0,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,0,0,0,1,5,4,1
104,3,8,1,1,0,0,1,5,4,1,9,9,9,4,9,7,4,4,3,11,9,10,9,9,9,9,4,6,4,6,6,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,10,9,8,10,10,10,1,11,11,11,9,10,8,9,9,0,0,0,0,0,0,0,1,1,0,0,0,11,0,1,1,0,0,8,9,9,9,9,1,0,0,1,0,1,0,0,2,10,10,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,2,1
105,3,9,2,,,,1,5,5,1,8,9,8,9,9,8,9,9,7,5,7,8,8,7,8,9,4,5,6,6,6,4,4,,,,,,,,,,,,,,,,,,,8,8,8,9,9,8,8,8,7,8,8,6,8,8,8,8,9,1,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,1,0,5,11,11,11,8,1,1,1,0,0,1,0,0,1,7,7,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,5,4,1
106,5,5,1,1,0,0,7,8,8,5,9,10,9,10,10,9,8,8,7,8,5,10,11,11,11,9,6,4,4,6,3,,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,10,9,10,7,9,9,9,9,11,11,11,11,9,8,11,11,11,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,0,1,0,8,9,11,11,9,1,0,0,0,0,0,1,0,2,9,9,9,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,1,1,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,0,2,5,4,1
107,1,7,1,1,0,0,9,7,7,7,9,9,9,8,9,6,6,7,7,8,4,9,9,8,9,9,5,5,3,3,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,8,8,8,7,7,9,8,8,8,7,7,7,8,9,7,3,9,0,0,0,0,1,0,0,1,0,0,0,0,8,0,1,1,0,0,6,6,4,5,7,0,1,0,1,0,1,0,0,1,8,6,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,4,4,1
108,1,6,1,1,0,0,11,11,11,11,11,5,11,7,7,7,7,5,5,5,1,5,3,11,5,8,2,6,4,6,6,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,4,11,11,11,11,11,11,11,11,11,11,11,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,1,1,0,4,11,11,10,5,0,1,0,1,0,0,0,0,2,11,4,8,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3,2,1
109,3,10,2,,,,6,4,4,4,10,9,8,9,9,9,9,8,8,8,6,9,9,9,9,9,5,5,4,5,4,5,5,,,,,,,,,,,,,,,,,,,9,10,9,10,9,10,7,8,6,8,8,9,9,8,8,6,10,1,1,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,8,10,10,10,10,0,0,0,1,1,1,0,0,1,9,10,10,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,3,3,1
110,9,9,2,,,,6,7,7,3,8,9,6,9,9,9,9,7,7,7,7,9,10,6,10,10,5,4,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,4,6,6,6,8,8,9,8,8,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,1,0,0,,,,,9,1,1,1,0,0,0,0,0,1,10,10,10,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,2,3,2,1
